Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
W797,Heavy Traffic,75550,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,2,Running Late
Y966,Heavy Traffic,12438,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
W646,Heavy Traffic,75419,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,2,Running Late
X951,Heavy Traffic,10264,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
N924,Heavy Traffic,75777,07 O'Clock,Nassau County,"BORO TRANSIT, INC.",20-30 MIN,4,Running Late
W901,Heavy Traffic,75550,07 O'Clock,Westchester,HOYT TRANSPORTATION CORP.,30 MIN,3,Running Late
X954,Other,10264,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,30 MIN,9,Running Late
M611,Heavy Traffic,2655,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M802,Heavy Traffic,2699,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,35 MIN,11,Running Late
X360,Other,8332,07 O'Clock,Bronx,"BORO TRANSIT, INC.",30 MIN,7,Running Late
M753,Heavy Traffic,3480,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,6,Running Late
M546,Heavy Traffic,3480,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,11,Running Late
X354,Heavy Traffic,8468,07 O'Clock,Bronx,"BORO TRANSIT, INC.",40-45 MIN,8,Running Late
M257,Heavy Traffic,4112,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,25 MIN,9,Running Late
M808,Heavy Traffic,2032,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,5,Running Late
W794,Heavy Traffic,75550,08 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,3,Running Late
P844,Heavy Traffic,29405,08 O'Clock,Queens,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
M212,Heavy Traffic,2655,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,7,Running Late
M867,Heavy Traffic,4839,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,3,Running Late
M796,Heavy Traffic,2632,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,8,Running Late
K587,Flat Tire,13461,08 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,-1,4,Breakdown
M208,Heavy Traffic,2699,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,8,Running Late
R770,Mechanical Problem,31649,08 O'Clock,Staten Island,PRIDE TRANSPORTATION ,20 MIN,6,Running Late
R707,Heavy Traffic,31649,08 O'Clock,Staten Island,PRIDE TRANSPORTATION ,15 MIN,5,Running Late
L731,Heavy Traffic,18002,06 O'Clock,Queens,"RELIANT TRANS, INC.",25 MIN,1,Running Late
M692,Heavy Traffic,2035,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,1,Running Late
M658,Heavy Traffic,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M531,Heavy Traffic,5154,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,2,Running Late
M704,Problem Run,1378,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,4,Running Late
K527,Other,15879,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,20 MIN,2,Running Late
Y966,Heavy Traffic,12438,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,10 MIN,2,Running Late
M694,Heavy Traffic,2035,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
K823,Mechanical Problem,21281,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,-1,1,Breakdown
W905,Heavy Traffic,75550,07 O'Clock,Westchester,HOYT TRANSPORTATION CORP.,15 MIN,5,Running Late
K587,Heavy Traffic,13461,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,20 MIN,5,Running Late
