Route_Number,Reason,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M526,Heavy Traffic,07/20/2016 07:47:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,2,Running Late
M588,Heavy Traffic,07/20/2016 07:45:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 MINUTES,4,Running Late
M657,Problem Run,07/20/2016 07:45:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,,6,Running Late
M856,Other,07/20/2016 07:50:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,25 mins,1,Running Late
M658,Heavy Traffic,07/20/2016 07:45:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 MINTUES,6,Running Late
M300,Heavy Traffic,07/20/2016 07:53:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,6,Running Late
M662,Heavy Traffic,07/20/2016 07:54:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 mins,1,Running Late
M696,Problem Run,07/20/2016 07:50:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,14,Running Late
K690,Heavy Traffic,07/20/2016 07:49:00 AM,Brooklyn,PRIDE TRANSPORTATION (SCH,15min,4,Running Late
X215,Other,07/20/2016 07:50:00 AM,Bronx,"BORO TRANSIT, INC.",35-40 MIN,7,Running Late
M868,Heavy Traffic,07/20/2016 07:53:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,10 MINUTES,2,Running Late
M990,Heavy Traffic,07/20/2016 07:57:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 mins,6,Running Late
Q911,Heavy Traffic,07/20/2016 07:45:00 AM,Queens,HOYT TRANSPORTATION CORP.,30 min,3,Running Late
N922,Other,07/20/2016 07:55:00 AM,Nassau County,"BORO TRANSIT, INC.",10-15 MIN,5,Running Late
M631,Problem Run,07/20/2016 08:00:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 Min,5,Running Late
M842,Heavy Traffic,07/20/2016 08:03:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,55 Min,2,Running Late
W995,Heavy Traffic,07/20/2016 08:06:00 AM,Brooklyn,"RELIANT TRANS, INC.",20mins,4,Running Late
L734,Heavy Traffic,07/20/2016 08:09:00 AM,Queens,"RELIANT TRANS, INC.",20 minutes,3,Running Late
M688,Accident,07/20/2016 08:34:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,1 Hour,5,Running Late
M795,Other,07/20/2016 08:29:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,40MIN,2,Running Late
W613,Heavy Traffic,07/20/2016 08:45:00 AM,Westchester,"RELIANT TRANS, INC.",20mins,3,Running Late
L952,Heavy Traffic,07/20/2016 08:48:00 AM,Queens,"RELIANT TRANS, INC.",20 minutes,3,Running Late
R587,Heavy Traffic,07/21/2016 07:17:00 AM,Staten Island,PRIDE TRANSPORTATION (SCH,25 mins,1,Running Late
M260,Heavy Traffic,07/21/2016 07:23:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,30 min,3,Running Late
K808,Other,07/21/2016 07:30:00 AM,Brooklyn,HOYT TRANSPORTATION CORP.,45 min,2,Running Late
X861,Heavy Traffic,07/21/2016 07:33:00 AM,Bronx,PRIDE TRANSPORTATION (SCH,10min,4,Running Late
M657,Problem Run,07/21/2016 07:40:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,9,Running Late
L997,Heavy Traffic,07/21/2016 07:46:00 AM,Queens,"RELIANT TRANS, INC.",20 minutes,2,Running Late
M658,Heavy Traffic,07/21/2016 07:45:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,10 MINTUES,4,Running Late
K587,Other,07/21/2016 07:42:00 AM,Brooklyn,PRIDE TRANSPORTATION (SCH,20 MIN,13,Running Late
M300,Heavy Traffic,07/21/2016 07:49:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,6,Running Late
M802,Heavy Traffic,07/21/2016 07:50:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,40min,9,Running Late
W646,Heavy Traffic,07/21/2016 07:50:00 AM,Westchester,"RELIANT TRANS, INC.",20 minutes,2,Running Late
M532,Heavy Traffic,07/21/2016 07:51:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,11,Running Late
M998,Heavy Traffic,07/21/2016 07:57:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,10,Running Late
M868,Heavy Traffic,07/21/2016 07:49:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15MIN,3,Running Late
W794,Heavy Traffic,07/21/2016 08:00:00 AM,Westchester,"RELIANT TRANS, INC.",20mins,3,Running Late
M631,Heavy Traffic,07/21/2016 08:04:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,10 min,5,Running Late
M990,Problem Run,07/21/2016 08:05:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 mins,7,Running Late
M808,Heavy Traffic,07/21/2016 08:06:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 min,6,Running Late
M637,Heavy Traffic,07/21/2016 08:08:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,9,Running Late
M650,Heavy Traffic,07/21/2016 08:08:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 min,4,Running Late
M603,Heavy Traffic,07/21/2016 08:10:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,40 mins,7,Running Late
M749,Heavy Traffic,07/21/2016 08:11:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,10 min,6,Running Late
X028,Other,07/21/2016 07:45:00 AM,Bronx,"BORO TRANSIT, INC.",20-25MIN,3,Running Late
S700,Accident,07/21/2016 08:00:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,2 HOURS,1,Running Late
S900,Heavy Traffic,07/21/2016 08:36:00 AM,Nassau County,"RELIANT TRANS, INC.",20 minutes,3,Running Late
X363,Heavy Traffic,07/22/2016 06:55:00 AM,Bronx,"BORO TRANSIT, INC.",25-30 MIN,1,Running Late
M650,Heavy Traffic,07/22/2016 07:39:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 min,4,Running Late
N853,Other,07/22/2016 07:30:00 AM,Nassau County,CONSOLIDATED BUS TRANS. I,1 HR,1,Running Late
M637,Heavy Traffic,07/22/2016 07:41:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,10 min,9,Running Late
M657,Problem Run,07/22/2016 07:30:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,7,Running Late
K587,Heavy Traffic,07/22/2016 07:42:00 AM,Brooklyn,PRIDE TRANSPORTATION (SCH,20,9,Running Late
M300,Heavy Traffic,07/22/2016 07:49:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,4,Running Late
M696,Problem Run,07/22/2016 07:45:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,9,Running Late
M990,Problem Run,07/22/2016 08:04:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 min,2,Running Late
W925,Other,07/22/2016 07:50:00 AM,Westchester,HOYT TRANSPORTATION CORP.,20 MINTUES,3,Running Late
M808,Problem Run,07/22/2016 08:06:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 min,8,Running Late
M631,Problem Run,07/22/2016 08:08:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,10 min,4,Running Late
M802,Heavy Traffic,07/22/2016 08:10:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,10 mins,9,Running Late
M696,Problem Run,07/22/2016 03:15:00 PM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,13,Running Late
X026,Other,07/25/2016 07:00:00 AM,Bronx,"BORO TRANSIT, INC.",20-25 MIN,2,Running Late
N924,Heavy Traffic,07/25/2016 07:00:00 AM,Nassau County,"BORO TRANSIT, INC.",35-45 MIN,1,Running Late
M603,Heavy Traffic,07/25/2016 07:26:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,40 min,4,Running Late
X951,Heavy Traffic,07/25/2016 07:29:00 AM,Bronx,PRIDE TRANSPORTATION (SCH,20 mins,7,Running Late
M300,Heavy Traffic,07/25/2016 07:35:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,10 mins,6,Running Late
M802,Heavy Traffic,07/25/2016 07:46:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,8,Running Late
M657,Problem Run,07/25/2016 07:45:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
K846,Other,07/25/2016 07:45:00 AM,Brooklyn,HOYT TRANSPORTATION CORP.,30MNS,4,Running Late
M703,Heavy Traffic,07/25/2016 07:45:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,5,Running Late
M637,Problem Run,07/25/2016 07:51:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 min,9,Running Late
M696,Problem Run,07/25/2016 07:50:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,9,Running Late
M868,Heavy Traffic,07/25/2016 07:55:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,3,Running Late
Q911,Heavy Traffic,07/25/2016 08:02:00 AM,Queens,HOYT TRANSPORTATION CORP.,20mns,4,Running Late
L524,Heavy Traffic,07/25/2016 08:08:00 AM,Queens,"RELIANT TRANS, INC.",20 minutes,4,Running Late
M808,Heavy Traffic,07/25/2016 08:08:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,3,Running Late
M805,Heavy Traffic,07/25/2016 08:10:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,3,Running Late
M990,Heavy Traffic,07/25/2016 08:12:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,4,Running Late
M635,Heavy Traffic,07/25/2016 08:15:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,6,Running Late
M659,Heavy Traffic,07/25/2016 08:16:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 min,4,Running Late
M631,Problem Run,07/25/2016 08:17:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,5,Running Late
X450,Heavy Traffic,07/25/2016 08:09:00 AM,Bronx,L & M BUS CORP (A),10,4,Running Late
L734,Heavy Traffic,07/25/2016 08:23:00 AM,Brooklyn,"RELIANT TRANS, INC.",20 minutes,4,Running Late
M867,Heavy Traffic,07/25/2016 08:27:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,10 mins,4,Running Late
W937,Heavy Traffic,07/25/2016 08:31:00 AM,Westchester,"RELIANT TRANS, INC.",20 minutes,2,Running Late
M210,Heavy Traffic,07/25/2016 08:40:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,4,Running Late
W793,Flat Tire,07/25/2016 03:56:00 PM,Westchester,"RELIANT TRANS, INC.",,1,Breakdown
M210,Heavy Traffic,07/26/2016 07:31:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,5,Running Late
M629,Heavy Traffic,07/26/2016 07:30:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,45 min,1,Running Late
M603,Problem Run,07/26/2016 07:36:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,40 min,4,Running Late
M803,Problem Run,07/26/2016 07:30:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,4,Running Late
M810,Heavy Traffic,07/26/2016 07:42:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,4,Running Late
M696,Problem Run,07/26/2016 07:40:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,9,Running Late
M687,Heavy Traffic,07/26/2016 07:43:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,45 min,2,Running Late
K822,Heavy Traffic,07/26/2016 07:30:00 AM,Brooklyn,HOYT TRANSPORTATION CORP.,30 min,3,Running Late
M936,Heavy Traffic,07/26/2016 07:46:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 min,3,Running Late
M706,Heavy Traffic,07/26/2016 07:48:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,10 min,5,Running Late
M802,Heavy Traffic,07/26/2016 07:49:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,9,Running Late
M114,Heavy Traffic,07/26/2016 07:49:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15MIN,2,Running Late
M781,Heavy Traffic,07/26/2016 07:54:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,45 min,3,Running Late
M657,Problem Run,07/26/2016 07:50:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,7,Running Late
M636,Heavy Traffic,07/26/2016 07:57:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 min,6,Running Late
M631,Problem Run,07/26/2016 08:00:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 min,5,Running Late
M868,Heavy Traffic,07/26/2016 08:04:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,3,Running Late
M990,Problem Run,07/26/2016 08:03:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 min,3,Running Late
M629,Heavy Traffic,07/26/2016 08:10:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,20 mins,2,Running Late
